name,address,latitude,longitude,date,start_time,end_time,hours,rating,website,types,price,featured,sold_out
"Basilica of the Sagrada Familia","Carrer de Mallorca, 401, Eixample, 08013 Barcelona, Spain","41.4036299","2.1743558","","","","Monday: 9:00 AM – 8:00 PM | Tuesday: 9:00 AM – 8:00 PM | Wednesday: 9:00 AM – 8:00 PM | Thursday: 9:00 AM – 8:00 PM | Friday: 9:00 AM – 8:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 10:30 AM – 8:00 PM","4.8","https://sagradafamilia.org/home","church, establishment, place_of_worship, point_of_interest, tourist_attraction","","false","false"
"Festa Major","Carrer de Joan de Peguera, 75, Sant Martí, 08026 Barcelona, Spain","41.4143042","2.1825694","","","","","5","","establishment, point_of_interest","","false","false"
"Centre Sant Pere 1892","Carrer de Sant Pere Més Alt, 25, Ciutat Vella, 08003 Barcelona, Spain","41.38818819999999","2.1762932","","","","Monday: 10:00 AM – 2:00 PM, 5:00 – 9:00 PM | Tuesday: 5:00 – 9:00 PM | Wednesday: 10:00 AM – 2:00 PM, 5:00 – 9:00 PM | Thursday: 5:00 – 9:00 PM | Friday: 10:00 AM – 2:00 PM, 5:00 – 9:00 PM | Saturday: 5:00 – 9:00 PM | Sunday: Closed","4.7","http://www.centresantpere.cat/","establishment, point_of_interest","","false","false"
"El canó de la Barceloneta","Plaça de la Barceloneta, Ciutat Vella, 08003 Barcelona, Spain","41.3798006","2.1880952","","","","","5","https://www.barcelona.cat/culturapopular/ca/festes-i-tradicions/personatges-i-elements-festius/cano-de-la-barceloneta","establishment, point_of_interest","","false","false"
"Centre Cívic Barceloneta","Carrer de la Conreria, 1, Ciutat Vella, 08003 Barcelona, Spain","41.3804244","2.1923547","","","","Monday: 9:00 AM – 9:30 PM | Tuesday: 9:00 AM – 9:30 PM | Wednesday: 9:00 AM – 9:30 PM | Thursday: 9:00 AM – 9:30 PM | Friday: 9:00 AM – 9:30 PM | Saturday: 9:30 AM – 2:30 PM, 4:00 – 8:00 PM | Sunday: Closed","4.6","https://ajuntament.barcelona.cat/ccivics/barceloneta","establishment, point_of_interest","","false","false"
"Barcelona City Hall","Pl. de Sant Jaume, 1, Ciutat Vella, 08002 Barcelona, Spain","41.3823947","2.1773651","","","","Monday: 8:00 AM – 7:00 PM | Tuesday: 8:00 AM – 7:00 PM | Wednesday: 8:00 AM – 7:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 7:00 PM | Saturday: 8:00 AM – 7:00 PM | Sunday: Closed","3.4","https://www.barcelona.cat/","city_hall, establishment, local_government_office, point_of_interest","","false","false"
"Sala Versus Glòries","Carrer de los Castillejos, 179, Eixample, 08013 Barcelona, Spain","41.40206","2.1838967","","","","Monday: Closed | Tuesday: Closed | Wednesday: 6:00 – 11:00 PM | Thursday: 6:00 – 11:00 PM | Friday: 6:00 – 11:00 PM | Saturday: 6:00 – 11:00 PM | Sunday: 5:00 – 9:00 PM","4.5","http://www.salaversusglories.cat/","establishment, point_of_interest","","false","false"
"Festa Major de Barberà del Vallès 2026","Passeig del Dr. Moragas, 08210 Barberà del Vallès, Barcelona, Spain","41.5145525","2.1250182","","","","","3.4","","establishment, point_of_interest, tourist_attraction","","false","false"
"Vall d'Hebron University Hospital","Pg. de la Vall d'Hebron, 119, Horta-Guinardó, 08035 Barcelona, Spain","41.4277445","2.1424144","","","","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","3.7","https://hospital.vallhebron.com/","establishment, health, hospital, point_of_interest","","false","false"
"Plaça de la Vall d'Hebron","Carrer de la Vall d'Hebron, 6, Horta-Guinardó, 08035 Barcelona, Spain","41.4216213","2.1411816","","","","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","4.1","","establishment, park, point_of_interest","","false","false"
